date,temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,year,population,water_availability
2022-01-30,11.52759454632099,0.0034412130596247,39.71485703476072,1.1856656840024205,-0.2450343164857923,7.67111242682468,,Algeirs,0.0114457911772963,283.82863566080727,0.0002416717397863977,3.2651475493269043e-10,7.183570848686334e-06,0.0,9.362876774806256e-06,652.5492299397786,-75.40491774876911,-1.050589320311944,26.610668587684632,23.09353505770365,0.0,0.0,0.0,283.82863566080727,874.7317876180014,222.1824866612752,4.468678705890974,0.0,124.06271613438923,2.178978358339615e-06,874.7319590250651,2022,2854000,27715941153.818066
2022-01-31,12.983174800685765,0.0038160677426271,40.00159781508789,0.9571156893627304,0.0540416162680504,8.247132172538148,,Algeirs,0.0278020669162894,285.3918109893799,0.0002508235826098826,7.99101240502494e-10,1.1127474010663717e-05,0.0,1.3711660771302074e-05,651.767520904541,-82.36555039087932,6.34813370903333,3.655623907844225,33.819813418388364,0.0,3.005640416819481e-11,0.0,285.3918109893799,873.4378122965494,221.6702803293864,4.409941370288532,0.0,126.19893051783242,2.5833880556547227e-06,873.4380523681641,2022,2854000,27673993763.486267
2022-02-01,13.812319938751868,0.0052351047676577,51.50738743939021,1.158713148642053,-0.5619907205488457,12.381027895926875,,Algeirs,0.0232341271592304,284.96670239766433,0.0255978133607034,3.1544844318887044e-06,6.056677769568827e-06,0.0,9.971154296787668e-06,651.0131586710612,-36.29625309308369,-6.632580989599227,21.791057713826497,24.59385449091593,0.0,2.4258640406079244e-07,0.0,284.96670239766433,872.7010729471842,221.68788935343423,4.569754964113235,0.0,76.04188788731894,7.599928022017365e-07,872.7266176859538,2022,2854000,27650929635.82983
2022-02-02,14.308218708711424,0.0063709090185921,60.54841677852655,0.7836237080434765,-0.2946361461279101,11.47248945527396,,Algeirs,0.0223541648359969,285.7478581746419,0.008786729897838,3.0805931790685764e-07,8.878874011012763e-06,0.0,1.1615606729264984e-05,650.3357348124187,-65.27073589960735,1.540278827895721,27.401346079508464,28.649896200497945,0.0,2.5212241322458694e-11,0.0,285.7478581746419,872.0294247945149,221.6936028798421,4.444482945402464,0.0,122.8642552057902,2.4286732582368134e-06,872.0381253560383,2022,2854000,27628609280.37809
2022-02-03,14.619769145627984,0.0057496046178892,54.169141474513175,-0.3169296869948848,1.5334518942422437,14.316647740584344,,Algeirs,0.0156650059934084,288.6383310953776,0.0008027985095395708,6.251349985812263e-09,1.4808844741764914e-05,0.0,1.9934130121631212e-05,649.6871561686198,-78.42493368784586,14.438629273573556,-14.393260757128395,49.16753471692403,0.0,0.0,0.0,288.6383310953776,870.6003768920898,220.91314506530765,4.351004674037298,0.0,127.64606561660766,5.119033769081702e-06,870.6010976155599,2022,2854000,27582022022.150463
2022-02-04,12.29726837040834,0.0054045626868192,58.76955714117106,1.4125017505284791,-0.9756940973686778,10.070860688415266,,Algeirs,0.0146254610115041,288.2736357371012,0.0004349354495692144,1.995811388377788e-09,1.288136583070809e-05,0.0,1.697022635956576e-05,649.0023239135742,-73.5911971728007,0.1393827505409718,11.495723211765288,41.8570659160614,0.0,0.0,0.0,288.2736357371012,868.740465037028,219.73811117808023,4.31262654264768,0.0,127.0750777244568,4.086864215461598e-06,868.7408360799153,2022,2854000,27521713872.146954
2022-02-05,10.851852042795327,0.003834670347672,47.16448620930969,0.0225653931341948,-0.0008071176591842415,7.252894194134511,,Algeirs,0.0204430881732453,287.06690648396807,0.0003753603277194391,1.1388472320276547e-09,7.568557191461878e-06,0.0,9.89883198675064e-06,648.2637400309245,-58.95849924087525,0.416515156129996,32.947002220153806,24.41547156969706,0.0,3.6262151152192477e-11,0.0,287.06690648396807,867.5095723470052,219.2458722432455,4.392604412635167,0.0,116.74412628809613,2.3291366024598875e-06,867.5099515279134,2022,2854000,27481809606.656982
2022-02-06,11.107620356594571,0.003870884651011,47.27722004487353,-1.1856823843258515,0.1199562370177715,8.68999080649057,,Algeirs,0.0333006801859786,287.2073393503825,0.0074314108991529,2.642406280154812e-07,6.935717880196534e-06,0.0,8.886117624721618e-06,647.5049387613932,-44.776653067270914,-2.018417915701866,46.65823771158854,21.917606266339615,0.0,6.705818094328761e-09,0.0,287.2073393503825,866.5481750488282,219.04325701395672,4.402889088789622,0.0,111.32951536178588,1.6861585711088382e-06,866.5556371053059,2022,2854000,27450871517.44407
2022-02-07,12.733559505098324,0.0037316445954984,40.30864955902562,-0.3263990543377753,0.1081006326864168,8.1695672520245,,Algeirs,0.0171576589423542,286.46069666544594,0.0060690917288108,1.2320021900436017e-07,6.401211030985602e-06,0.0,8.464414300609252e-06,646.7488413492838,-56.10842002232869,-3.811606023708979,47.98022173245747,20.87747940222422,0.0,0.0,0.0,286.46069666544594,865.6628672281901,218.91412264506025,4.405063579479854,0.0,121.15409393310546,1.9400035559632064e-06,865.6690025329589,2022,2854000,27422127553.349323
2022-02-08,14.135931134876902,0.0042819237662498,41.51751703329236,-0.195503087675465,0.3708173787392622,11.3835027425722,,Algeirs,0.0251913736807182,285.25645357767746,0.0016183663668925,1.5056551520379697e-08,7.865079305702237e-06,0.0,9.63704402086781e-06,645.9992424011231,-66.63028167088827,-8.623569798469545,42.77228728930155,23.769769024848937,0.0,2.139785148837688e-10,0.0,285.25645357767746,864.7262786865234,218.72703812917072,4.38217213054498,0.0,124.54380518595376,1.7569083515430368e-06,864.7279192606608,2022,2854000,27391618407.15451
